tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2014-403,Miami Masters,Hard,96,M,20140319,91,105453,20,,Kei Nishikori,R,178,JPN,24.2135523614,21,1715,103819,5,,Roger Federer,R,185,SUI,32.605065024,5,5045,3-6 7-5 6-4,3,QF,129,6,5,108,71,46,18,15,5,9,7,3,88,47,33,20,16,7,12
2014-403,Miami Masters,Hard,96,M,20140319,85,103819,5,,Roger Federer,R,185,SUI,32.605065024,5,5045,104755,9,,Richard Gasquet,R,185,FRA,27.7453798768,9,2905,6-1 6-2,3,R16,49,6,0,37,25,22,7,7,1,1,0,4,43,26,14,6,8,1,6
2014-403,Miami Masters,Hard,96,M,20140319,73,103819,5,,Roger Federer,R,185,SUI,32.605065024,5,5045,105217,,Q,Thiemo De Bakker,R,193,NED,25.4893908282,162,334,6-3 6-3,3,R32,63,6,1,43,26,22,14,9,0,0,7,2,68,41,27,11,9,6,9
2014-403,Miami Masters,Hard,96,M,20140319,49,103819,5,,Roger Federer,R,185,SUI,32.605065024,5,5045,103333,,,Ivo Karlovic,R,208,CRO,35.0472279261,53,881,6-4 7-6(4),3,R64,75,6,0,52,39,37,12,11,0,0,13,1,68,44,36,11,11,2,3
2014-D012,Davis Cup WG QF: SUI vs KAZ,Hard,4,D,20140404,2,103819,,,Roger Federer,R,185,SUI,32.643394935,4,5225,105062,,,Mikhail Kukushkin,R,183,KAZ,26.2614647502,56,827,6-4 6-4 6-2,5,RR,,,,,,,,,,,,,,,,,,,
2014-D012,Davis Cup WG QF: SUI vs KAZ,Hard,4,D,20140404,4,103819,,,Roger Federer,R,185,SUI,32.643394935,4,5225,104979,,,Andrey Golubev,R,185,KAZ,26.6913073238,64,711,7-6(0) 6-2 6-3,5,RR,,,,,,,,,,,,,,,,,,,
2014-410,Monte Carlo Masters,Clay,56,M,20140413,51,103819,4,,Roger Federer,R,185,SUI,32.681724846,4,5355,104542,9,,Jo Wilfried Tsonga,R,188,FRA,28.9911019849,12,2550,2-6 7-6(6) 6-1,3,QF,146,4,0,92,61,42,18,14,2,4,3,2,139,93,57,22,13,17,19
2014-410,Monte Carlo Masters,Clay,56,M,20140413,54,103819,4,,Roger Federer,R,185,SUI,32.681724846,4,5355,104925,2,,Novak Djokovic,R,188,SRB,26.8966461328,2,11680,7-5 6-2,3,SF,75,3,1,57,40,33,10,10,2,2,2,0,59,40,24,12,10,2,5
2014-410,Monte Carlo Masters,Clay,56,M,20140413,36,103819,4,,Roger Federer,R,185,SUI,32.681724846,4,5355,103285,,,Radek Stepanek,R,185,CZE,35.3785078713,41,1040,6-1 6-2,3,R32,52,2,1,42,33,29,4,8,2,2,0,5,41,25,14,7,7,0,4
2014-410,Monte Carlo Masters,Clay,56,M,20140413,46,103819,4,,Roger Federer,R,185,SUI,32.681724846,4,5355,104586,,,Lukas Rosol,R,196,CZE,28.7227926078,47,971,6-4 6-1,3,R16,58,6,1,53,31,28,9,9,3,4,0,1,43,25,14,6,8,0,4
2014-410,Monte Carlo Masters,Clay,56,M,20140413,55,104527,3,,Stanislas Wawrinka,R,183,SUI,29.0458590007,3,5760,103819,4,,Roger Federer,R,185,SUI,32.681724846,4,5355,4-6 7-6(5) 6-2,3,F,134,5,2,93,54,43,22,15,1,3,3,1,103,69,51,15,15,4,7
2014-416,Rome Masters,Clay,56,M,20140511,36,104871,,,Jeremy Chardy,R,188,FRA,27.2443531828,47,970,103819,4,,Roger Federer,R,185,SUI,32.758384668,4,5715,1-6 6-3 7-6(6),3,R32,127,2,5,92,52,42,18,14,4,7,9,1,101,69,47,16,14,9,11
2014-520,Roland Garros,Clay,128,G,20140526,48,103819,4,,Roger Federer,R,185,SUI,32.7967145791,4,5125,105041,,,Lukas Lacko,R,185,SVK,26.559890486,87,617,6-2 6-4 6-2,5,R128,84,7,1,61,44,39,13,13,0,0,3,5,91,57,32,18,13,6,11
2014-520,Roland Garros,Clay,128,G,20140526,108,103819,4,,Roger Federer,R,185,SUI,32.7967145791,4,5125,104098,31,,Dmitry Tursunov,R,185,RUS,31.4524298426,32,1155,7-5 6-7(7) 6-2 6-4,5,R32,187,15,1,120,81,65,27,21,2,2,6,5,159,98,67,31,21,17,21
2014-520,Roland Garros,Clay,128,G,20140526,88,103819,4,,Roger Federer,R,185,SUI,32.7967145791,4,5125,106043,,Q,Diego Sebastian Schwartzman,R,,ARG,21.7741273101,109,533,6-3 6-4 6-4,5,R64,103,9,2,81,51,42,17,15,1,2,1,4,95,51,30,24,14,6,10
2014-520,Roland Garros,Clay,128,G,20140526,118,105208,18,,Ernests Gulbis,R,190,LAT,25.735797399,17,2050,103819,4,,Roger Federer,R,185,SUI,32.7967145791,4,5125,6-7(5) 7-6(3) 6-2 4-6 6-3,5,R16,222,13,4,154,93,65,37,26,2,7,7,3,161,102,70,30,25,5,12
2014-500,Halle,Grass,28,A,20140609,20,103819,2,,Roger Federer,R,185,SUI,32.8350444901,4,4945,105311,,,Joao Sousa,R,,POR,25.1937029432,47,940,6-7(8) 6-4 6-2,3,R16,110,11,1,87,72,57,11,15,2,2,3,1,113,79,51,20,15,9,12
2014-500,Halle,Grass,28,A,20140609,27,103819,2,,Roger Federer,R,185,SUI,32.8350444901,4,4945,104268,,,Alejandro Falla,L,185,COL,30.5681040383,69,713,7-6(2) 7-6(3),3,F,88,5,2,75,46,38,17,12,3,5,5,0,76,49,38,11,12,0,2
2014-500,Halle,Grass,28,A,20140609,24,103819,2,,Roger Federer,R,185,SUI,32.8350444901,4,4945,104229,,,Yen Hsun Lu,R,180,TPE,30.8199863107,48,933, W/O,3,QF,,,,,,,,,,,,,,,,,,,
2014-500,Halle,Grass,28,A,20140609,26,103819,2,,Roger Federer,R,185,SUI,32.8350444901,4,4945,105453,4,,Kei Nishikori,R,178,JPN,24.4435318275,12,2645,6-3 7-6(4),3,SF,73,10,2,70,53,37,11,11,1,2,1,0,54,37,24,14,10,0,2
2014-540,Wimbledon,Grass,128,G,20140623,126,103819,4,,Roger Federer,R,185,SUI,32.8733744011,4,4945,105683,8,,Milos Raonic,R,196,CAN,23.4880219028,9,3245,6-4 6-4 6-4,5,SF,101,6,1,80,52,42,19,15,1,1,17,4,84,46,37,19,15,4,7
2014-540,Wimbledon,Grass,128,G,20140623,127,104925,1,,Novak Djokovic,R,188,SRB,27.0882956879,2,12330,103819,4,,Roger Federer,R,185,SUI,32.8733744011,4,4945,6-7(7) 6-4 7-6(4) 5-7 6-4,5,F,236,13,3,174,108,79,43,28,4,7,29,5,192,133,102,26,28,11,15
2014-540,Wimbledon,Grass,128,G,20140623,48,103819,4,,Roger Federer,R,185,SUI,32.8733744011,4,4945,103893,,,Paolo Lorenzi,R,183,ITA,32.5201916496,83,653,6-1 6-1 6-3,5,R128,93,9,1,69,48,37,15,12,5,5,4,3,98,49,30,17,11,17,23
2014-540,Wimbledon,Grass,128,G,20140623,123,103819,4,,Roger Federer,R,185,SUI,32.8733744011,4,4945,104527,5,,Stanislas Wawrinka,R,183,SUI,29.2375085558,3,5420,3-6 7-6(5) 6-4 6-4,5,QF,153,10,1,119,77,61,29,20,3,4,9,1,124,74,57,31,21,5,7
2014-540,Wimbledon,Grass,128,G,20140623,88,103819,4,,Roger Federer,R,185,SUI,32.8733744011,4,4945,104180,,Q,Gilles Muller,L,193,LUX,31.1238877481,103,555,6-3 7-5 6-3,5,R64,94,25,1,69,53,48,12,15,0,0,12,5,92,62,46,11,15,2,6
2014-540,Wimbledon,Grass,128,G,20140623,118,103819,4,,Roger Federer,R,185,SUI,32.8733744011,4,4945,103990,23,,Tommy Robredo,R,180,ESP,32.1451060917,22,1630,6-1 6-4 6-4,5,R16,94,11,0,75,42,37,24,14,1,1,3,1,87,61,36,13,13,9,13
2014-540,Wimbledon,Grass,128,G,20140623,108,103819,4,,Roger Federer,R,185,SUI,32.8733744011,4,4945,105053,,,Santiago Giraldo,R,188,COL,26.5708418891,35,1118,6-3 6-1 6-3,5,R32,81,8,1,73,50,42,12,13,2,2,0,4,85,61,37,8,12,4,9
2014-421,Canada Masters,Hard,56,M,20140804,54,103819,2,,Roger Federer,R,185,SUI,32.9883641342,3,6070,103852,,,Feliciano Lopez,L,188,ESP,32.8706365503,25,1500,6-3 6-4,3,SF,82,13,1,53,29,25,16,10,0,0,8,9,77,29,24,21,9,9,11
2014-421,Canada Masters,Hard,56,M,20140804,55,104542,13,,Jo Wilfried Tsonga,R,188,FRA,29.2977412731,15,1910,103819,2,,Roger Federer,R,185,SUI,32.9883641342,3,6070,7-5 7-6(3),3,F,108,11,2,70,35,33,22,12,0,0,7,4,100,64,45,18,12,6,7
2014-421,Canada Masters,Hard,56,M,20140804,40,103819,2,,Roger Federer,R,185,SUI,32.9883641342,3,6070,105166,,WC,Peter Polansky,R,180,CAN,26.135523614,129,469,6-2 6-0,3,R32,52,5,3,43,29,24,5,7,1,2,0,2,49,25,9,10,7,0,6
2014-421,Canada Masters,Hard,56,M,20140804,52,103819,2,,Roger Federer,R,185,SUI,32.9883641342,3,6070,103970,5,,David Ferrer,R,175,ESP,32.3394934976,7,4085,6-3 4-6 6-3,3,QF,114,7,3,87,50,40,15,14,3,6,0,3,92,56,32,18,14,4,9
2014-421,Canada Masters,Hard,56,M,20140804,48,103819,2,,Roger Federer,R,185,SUI,32.9883641342,3,6070,105227,15,,Marin Cilic,R,198,CRO,25.8480492813,18,1665,7-6(5) 6-7(3) 6-4,3,R16,159,11,4,106,67,55,23,17,2,2,12,1,145,83,60,36,17,9,10
2014-422,Cincinnati Masters,Hard,56,M,20140810,55,103819,2,,Roger Federer,R,185,SUI,33.0075290897,3,6670,103970,6,,David Ferrer,R,175,ESP,32.3586584531,6,4255,6-3 1-6 6-2,3,F,102,6,2,74,47,36,13,12,9,11,3,3,88,54,38,14,12,11,14
2014-422,Cincinnati Masters,Hard,56,M,20140810,54,103819,2,,Roger Federer,R,185,SUI,33.0075290897,3,6670,105683,5,,Milos Raonic,R,196,CAN,23.6221765914,7,3955,6-2 6-3,3,SF,69,2,0,52,33,29,10,9,1,1,6,3,57,25,17,16,8,2,5
2014-422,Cincinnati Masters,Hard,56,M,20140810,40,103819,2,,Roger Federer,R,185,SUI,33.0075290897,3,6670,105577,,,Vasek Pospisil,R,193,CAN,24.1341546886,46,965,7-6(4) 5-7 6-2,3,R32,122,6,0,88,61,46,22,16,1,2,8,9,99,57,45,20,16,4,6
2014-422,Cincinnati Masters,Hard,56,M,20140810,48,103819,2,,Roger Federer,R,185,SUI,33.0075290897,3,6670,104792,,,Gael Monfils,R,193,FRA,27.9425051335,23,1590,6-4 4-6 6-3,3,R16,109,4,5,87,52,37,18,15,3,6,7,8,91,45,29,22,14,5,9
2014-422,Cincinnati Masters,Hard,56,M,20140810,52,103819,2,,Roger Federer,R,185,SUI,33.0075290897,3,6670,104918,8,,Andy Murray,R,190,GBR,27.241615332,9,3150,6-3 7-5,3,QF,93,3,3,63,38,27,13,10,4,6,6,2,73,35,21,17,11,8,13
2014-560,US Open,Hard,128,G,20140825,64,103819,2,,Roger Federer,R,185,SUI,33.0458590007,3,7490,104594,,,Marinko Matosevic,R,194,AUS,29.0458590007,76,682,6-3 6-4 7-6(4),5,R128,127,10,1,87,60,53,15,16,2,3,4,4,120,71,44,26,15,11,14
2014-560,US Open,Hard,128,G,20140825,96,103819,2,,Roger Federer,R,185,SUI,33.0458590007,3,7490,105032,,,Samuel Groth,R,,AUS,26.8501026694,104,571,6-4 6-4 6-4,5,R64,108,9,4,79,49,41,15,15,0,2,9,8,109,69,41,20,15,6,11
2014-560,US Open,Hard,128,G,20140825,120,103819,2,,Roger Federer,R,185,SUI,33.0458590007,3,7490,105138,17,,Roberto Bautista Agut,R,,ESP,26.3627652293,19,1800,6-4 6-3 6-2,5,R16,116,8,5,87,51,39,19,13,6,7,2,4,102,65,38,15,14,7,13
2014-560,US Open,Hard,128,G,20140825,112,103819,2,,Roger Federer,R,185,SUI,33.0458590007,3,7490,104719,,,Marcel Granollers,R,190,ESP,28.3696098563,42,1010,4-6 6-1 6-1 6-1,5,R32,118,12,0,93,58,41,20,15,6,8,5,3,99,56,30,18,16,11,20
2014-560,US Open,Hard,128,G,20140825,126,105227,14,,Marin Cilic,R,198,CRO,25.9055441478,16,1845,103819,2,,Roger Federer,R,185,SUI,33.0458590007,3,7490,6-3 6-4 6-4,5,SF,105,13,1,81,45,39,20,15,1,2,12,1,84,52,36,16,14,4,8
2014-560,US Open,Hard,128,G,20140825,124,103819,2,,Roger Federer,R,185,SUI,33.0458590007,3,7490,104792,20,,Gael Monfils,R,193,FRA,27.9808350445,24,1530,4-6 3-6 6-4 7-5 6-2,5,QF,200,5,2,151,86,65,37,25,10,15,6,9,157,99,65,29,24,7,13
2014-D014,Davis Cup WG SF: SUI vs ITA,Hard,4,D,20140912,3,103819,,,Roger Federer,R,185,SUI,33.0841889117,3,8030,104926,,,Fabio Fognini,R,178,ITA,27.2936344969,17,1870,6-2 6-3 7-6(4),5,RR,,,,,,,,,,,,,,,,,,,
2014-D014,Davis Cup WG SF: SUI vs ITA,Hard,4,D,20140912,1,103819,,,Roger Federer,R,185,SUI,33.0841889117,3,8030,104620,,,Simone Bolelli,R,183,ITA,28.9171800137,76,687,7-6(5) 6-4 6-4,5,RR,,,,,,,,,,,,,,,,,,,
2014-5014,Shanghai Masters,Hard,56,M,20141005,50,103819,3,,Roger Federer,R,185,SUI,33.1608487337,3,8170,103898,,,Julien Benneteau,R,185,FRA,32.7939767283,30,1205,7-6(4) 6-0,3,QF,70,11,0,48,37,34,4,9,0,0,5,1,64,48,25,8,9,1,4
2014-5014,Shanghai Masters,Hard,56,M,20141005,53,103819,3,,Roger Federer,R,185,SUI,33.1608487337,3,8170,104925,1,,Novak Djokovic,R,188,SRB,27.3757700205,1,12150,6-4 6-4,3,SF,96,8,1,72,51,35,13,10,1,1,5,0,77,53,32,13,10,8,10
2014-5014,Shanghai Masters,Hard,56,M,20141005,43,103819,3,,Roger Federer,R,185,SUI,33.1608487337,3,8170,105138,14,,Roberto Bautista Agut,R,,ESP,26.4777549624,18,1865,6-4 6-2,3,R16,73,8,0,53,37,32,8,9,1,1,0,0,60,38,25,9,9,6,9
2014-5014,Shanghai Masters,Hard,56,M,20141005,29,103819,3,,Roger Federer,R,185,SUI,33.1608487337,3,8170,104919,,,Leonardo Mayer,R,188,ARG,27.394934976,25,1339,7-5 3-6 7-6(7),3,R32,162,10,2,130,92,63,19,17,9,12,3,1,117,75,49,25,16,6,8
2014-5014,Shanghai Masters,Hard,56,M,20141005,55,103819,3,,Roger Federer,R,185,SUI,33.1608487337,3,8170,104468,,,Gilles Simon,R,183,FRA,29.7741273101,29,1220,7-6(6) 7-6(2),3,F,113,4,0,71,50,39,15,12,2,3,3,1,90,46,28,28,12,6,7
2014-328,Basel,Hard,32,A,20141020,25,103819,1,,Roger Federer,R,185,SUI,33.1991786448,2,9080,105777,5,,Grigor Dimitrov,R,188,BUL,23.4305270363,11,3645,7-6(4) 6-2,3,QF,90,10,1,65,37,31,18,10,4,4,7,1,74,45,32,13,10,4,6
2014-328,Basel,Hard,32,A,20141020,1,103819,1,,Roger Federer,R,185,SUI,33.1991786448,2,9080,104180,,,Gilles Muller,L,193,LUX,31.4496919918,51,847,6-2 6-1,3,R32,46,9,2,36,21,20,12,8,0,0,3,2,38,20,11,8,7,1,5
2014-328,Basel,Hard,32,A,20141020,29,103819,1,,Roger Federer,R,185,SUI,33.1991786448,2,9080,103333,8,,Ivo Karlovic,R,208,CRO,35.6413415469,31,1220,7-6(8) 3-6 6-3,3,SF,102,7,3,86,55,47,22,15,1,2,33,2,85,63,53,12,15,3,4
2014-328,Basel,Hard,32,A,20141020,31,103819,1,,Roger Federer,R,185,SUI,33.1991786448,2,9080,105676,7,,David Goffin,R,163,BEL,23.8685831622,28,1278,6-2 6-2,3,F,52,5,1,37,22,18,14,8,0,0,6,4,47,23,18,6,8,2,6
2014-328,Basel,Hard,32,A,20141020,17,103819,1,,Roger Federer,R,185,SUI,33.1991786448,2,9080,104797,,,Denis Istomin,R,188,UZB,28.1177275838,55,825,3-6 6-3 6-4,3,R16,108,6,0,71,44,40,17,14,3,4,11,4,98,56,42,21,14,10,12
2014-352,Paris Masters,Hard,48,M,20141027,40,103819,2,,Roger Federer,R,185,SUI,33.2183436003,2,9280,106298,,Q,Lucas Pouille,R,,FRA,20.6735112936,176,290,6-4 6-4,3,R16,75,4,1,54,29,27,15,10,0,0,7,3,77,47,37,10,10,8,10
2014-352,Paris Masters,Hard,48,M,20141027,32,103819,2,,Roger Federer,R,185,SUI,33.2183436003,2,9280,104871,,,Jeremy Chardy,R,188,FRA,27.704312115,30,1205,7-6(5) 6-7(5) 6-4,3,R32,152,10,3,123,72,55,27,17,7,9,7,8,119,72,54,23,17,9,12
2014-352,Paris Masters,Hard,48,M,20141027,44,105683,7,,Milos Raonic,R,196,CAN,23.832991102,10,3930,103819,2,,Roger Federer,R,185,SUI,33.2183436003,2,9280,7-6(5) 7-5,3,QF,93,21,1,70,47,40,15,12,1,1,8,1,69,43,38,14,12,1,2
2014-605,Tour Finals,Hard,8,F,20141109,15,104925,1,,Novak Djokovic,R,188,SRB,27.4715947981,1,10010,103819,2,,Roger Federer,R,185,SUI,33.2566735113,2,8700,W/O,3,F,,,,,,,,,,,,,,,,,,,
2014-605,Tour Finals,Hard,8,F,20141109,13,103819,2,,Roger Federer,R,185,SUI,33.2566735113,2,8700,104527,3,,Stanislas Wawrinka,R,183,SUI,29.620807666,4,4895,4-6 7-5 7-6(6),3,SF,168,4,0,108,57,41,29,17,3,6,10,4,123,47,38,36,17,6,9
2014-605,Tour Finals,Hard,8,F,20141109,11,103819,2,,Roger Federer,R,185,SUI,33.2566735113,2,8700,105683,8,,Milos Raonic,R,196,CAN,23.871321013,8,4440,6-1 7-6(0),3,RR,89,5,2,75,42,32,20,10,4,4,10,2,60,28,22,15,9,4,6
2014-605,Tour Finals,Hard,8,F,20141109,8,103819,2,,Roger Federer,R,185,SUI,33.2566735113,2,8700,104918,5,,Andy Murray,R,190,GBR,27.4907597536,6,4475,6-0 6-1,3,RR,56,0,1,36,14,14,14,7,0,0,3,4,42,19,7,9,6,1,6
2014-605,Tour Finals,Hard,8,F,20141109,7,103819,2,,Roger Federer,R,185,SUI,33.2566735113,2,8700,105453,4,,Kei Nishikori,R,178,JPN,24.8651608487,5,4625,6-3 6-2,3,RR,69,7,1,59,34,27,14,9,3,3,1,5,52,28,19,11,8,4,7
2014-D015,Davis Cup WG F: FRA vs SUI,Clay,4,D,20141121,2,104792,,,Gael Monfils,R,193,FRA,28.2108145106,19,1825,103819,,,Roger Federer,R,185,SUI,33.2758384668,2,9700,6-1 6-4 6-3,5,RR,,,,,,,,,,,,,,,,,,,
2014-D015,Davis Cup WG F: FRA vs SUI,Clay,4,D,20141121,3,103819,,,Roger Federer,R,185,SUI,33.2758384668,2,9700,104755,,,Richard Gasquet,R,185,FRA,28.4161533196,26,1350,6-4 6-2 6-2,5,RR,,,,,,,,,,,,,,,,,,,
2015-339,Brisbane,Hard,28,A,20150104,13,103819,1,,Roger Federer,R,185,SUI,33.4099931554,2,9625,105357,,WC,John Millman,R,183,AUS,25.5605749487,153,328,4-6 6-4 6-3,3,R16,122,8,3,85,50,37,19,14,9,11,2,2,112,72,44,20,15,9,13
2015-339,Brisbane,Hard,28,A,20150104,27,103819,1,,Roger Federer,R,185,SUI,33.4099931554,2,9625,105683,3,,Milos Raonic,R,196,CAN,24.0246406571,8,4440,6-4 6-7(2) 6-4,3,F,133,21,0,100,64,51,19,16,5,6,14,4,108,58,44,27,16,4,7
2015-339,Brisbane,Hard,28,A,20150104,25,103819,1,,Roger Federer,R,185,SUI,33.4099931554,2,9625,105777,4,,Grigor Dimitrov,R,188,BUL,23.6413415469,11,3645,6-2 6-2,3,SF,53,1,1,48,33,27,9,8,4,4,4,1,48,30,19,6,8,3,7
2015-339,Brisbane,Hard,28,A,20150104,21,103819,1,,Roger Federer,R,185,SUI,33.4099931554,2,9625,105902,,WC,James Duckworth,R,183,AUS,22.9568788501,125,430,6-0 6-1,3,QF,41,12,2,30,21,19,6,6,0,0,0,1,38,25,8,4,7,2,8
2015-580,Australian Open,Hard,128,G,20150119,96,103819,2,,Roger Federer,R,185,SUI,33.4483230664,2,9875,104620,,,Simone Bolelli,R,183,ITA,29.2813141684,48,864,3-6 6-3 6-2 6-2,5,R64,129,16,0,92,64,50,20,17,0,1,8,3,109,57,36,28,17,6,11
2015-580,Australian Open,Hard,128,G,20150119,64,103819,2,,Roger Federer,R,185,SUI,33.4483230664,2,9875,104229,,,Yen Hsun Lu,R,180,TPE,31.4332648871,47,888,6-4 6-2 7-5,5,R128,113,9,3,83,56,48,17,15,4,4,1,2,97,57,35,22,15,10,14
2015-580,Australian Open,Hard,128,G,20150119,112,104312,,,Andreas Seppi,R,190,ITA,30.9103353867,46,915,103819,2,,Roger Federer,R,185,SUI,33.4483230664,2,9875,6-4 7-6(5) 4-6 7-6(5),5,R32,177,4,4,151,86,67,32,22,7,10,15,9,138,82,66,27,22,2,5
2015-495,Dubai,Hard,32,A,20150223,30,103819,2,,Roger Federer,R,185,SUI,33.5441478439,2,9205,106432,,LL,Borna Coric,R,,CRO,18.2751540041,84,604,6-2 6-1,3,SF,56,3,3,49,32,23,7,8,2,3,2,3,40,25,12,3,7,2,7
2015-495,Dubai,Hard,32,A,20150223,16,103819,2,,Roger Federer,R,185,SUI,33.5441478439,2,9205,104022,,,Mikhail Youzhny,R,183,RUS,32.6652977413,55,860,6-3 6-1,3,R32,56,8,2,49,31,26,9,8,0,0,0,3,45,20,9,14,8,3,7
2015-495,Dubai,Hard,32,A,20150223,28,103819,2,,Roger Federer,R,185,SUI,33.5441478439,2,9205,104755,,,Richard Gasquet,R,185,FRA,28.6844626968,27,1365,6-1 RET,3,QF,21,3,0,12,8,8,4,3,0,0,0,2,25,16,9,2,4,1,4
2015-495,Dubai,Hard,32,A,20150223,31,103819,2,,Roger Federer,R,185,SUI,33.5441478439,2,9205,104925,1,,Novak Djokovic,R,188,SRB,27.7590691307,1,13045,6-3 7-5,3,F,84,12,1,79,51,41,11,11,7,7,1,2,62,39,27,12,10,0,2
2015-495,Dubai,Hard,32,A,20150223,24,103819,2,,Roger Federer,R,185,SUI,33.5441478439,2,9205,104269,,,Fernando Verdasco,L,188,ESP,31.2744695414,31,1225,6-4 6-3,3,R16,60,4,0,40,28,24,7,9,0,2,5,3,53,28,17,10,10,2,7
2015-404,Indian Wells Masters,Hard,96,M,20150312,92,103819,2,,Roger Federer,R,185,SUI,33.582477755,2,9205,104607,9,,Tomas Berdych,R,196,CZE,29.4729637235,9,4340,6-4 6-0,3,QF,69,1,1,40,26,23,9,8,0,0,2,5,57,26,16,12,8,4,8
2015-404,Indian Wells Masters,Hard,96,M,20150312,95,104925,1,,Novak Djokovic,R,188,SRB,27.7973990418,1,13205,103819,2,,Roger Federer,R,185,SUI,33.582477755,2,9205,6-3 6-7(5) 6-2,3,F,138,8,5,101,61,47,21,15,8,10,6,3,98,57,41,15,14,8,13
2015-404,Indian Wells Masters,Hard,96,M,20150312,94,103819,2,,Roger Federer,R,185,SUI,33.582477755,2,9205,105683,6,,Milos Raonic,R,196,CAN,24.1971252567,6,4980,7-5 6-4,3,SF,86,5,0,63,42,33,14,11,1,1,9,1,64,37,28,16,11,5,7
2015-404,Indian Wells Masters,Hard,96,M,20150312,64,103819,2,,Roger Federer,R,185,SUI,33.582477755,2,9205,106043,,,Diego Sebastian Schwartzman,R,,ARG,22.559890486,63,780,6-4 6-2,3,R64,63,8,1,47,23,19,17,9,0,0,1,2,58,32,19,12,9,6,9
2015-404,Indian Wells Masters,Hard,96,M,20150312,88,103819,2,,Roger Federer,R,185,SUI,33.582477755,2,9205,106058,,,Jack Sock,R,185,USA,22.4531143053,58,851,6-3 6-2,3,R16,70,8,0,43,29,25,11,9,0,0,3,6,72,38,24,14,8,8,11
2015-404,Indian Wells Masters,Hard,96,M,20150312,80,103819,2,,Roger Federer,R,185,SUI,33.582477755,2,9205,104312,30,,Andreas Seppi,R,190,ITA,31.0444900753,33,1185,6-3 6-4,3,R32,82,6,3,59,36,27,12,10,1,2,3,2,77,35,24,17,9,9,12
2015-410,Monte Carlo Masters,Clay,56,M,20150412,48,104792,14,,Gael Monfils,R,193,FRA,28.6132785763,18,1750,103819,2,,Roger Federer,R,185,SUI,33.6783025325,2,8895,6-4 7-6(5),3,R16,105,3,0,81,44,30,23,11,2,3,4,1,87,45,30,21,11,6,8
2015-410,Monte Carlo Masters,Clay,56,M,20150412,40,103819,2,,Roger Federer,R,185,SUI,33.6783025325,2,8895,104871,,,Jeremy Chardy,R,188,FRA,28.1642710472,35,1155,6-2 6-1,3,R32,55,5,1,41,31,22,7,8,0,1,1,5,50,26,14,8,7,5,10
2015-7163,Istanbul,Clay,28,A,20150427,21,103819,1,,Roger Federer,R,185,SUI,33.7166324435,2,8385,104593,,,Daniel Gimeno Traver,R,185,ESP,29.7193702943,62,783,7-6(3) 6-7(5) 6-3,3,QF,148,11,2,106,68,54,22,17,6,8,2,2,127,76,52,25,16,10,13
2015-7163,Istanbul,Clay,28,A,20150427,25,103819,1,,Roger Federer,R,185,SUI,33.7166324435,2,8385,106043,8,,Diego Sebastian Schwartzman,R,,ARG,22.6940451745,63,765,2-6 6-2 7-5,3,SF,115,6,1,83,44,34,23,14,3,5,4,1,102,57,42,18,14,8,11
2015-7163,Istanbul,Clay,28,A,20150427,27,103819,1,,Roger Federer,R,185,SUI,33.7166324435,2,8385,104655,3,,Pablo Cuevas,R,180,URU,29.3169062286,23,1442,6-3 7-6(11),3,F,96,7,2,72,51,38,13,11,0,1,3,1,78,52,30,15,10,7,9
2015-7163,Istanbul,Clay,28,A,20150427,13,103819,1,,Roger Federer,R,185,SUI,33.7166324435,2,8385,103813,,,Jarkko Nieminen,L,185,FIN,33.7604380561,71,673,6-2 7-5,3,R16,61,9,2,49,31,29,11,10,0,0,0,0,64,43,27,12,10,4,7
2015-1536,Madrid Masters,Clay,56,M,20150503,25,106401,,,Nick Kyrgios,R,,AUS,20.0191649555,35,1130,103819,1,,Roger Federer,R,185,SUI,33.735797399,2,8635,6-7(2) 7-6(5) 7-6(12),3,R32,157,22,2,129,85,67,19,18,2,4,16,1,129,74,58,30,18,1,3
2015-416,Rome Masters,Clay,56,M,20150510,55,104925,1,,Novak Djokovic,R,188,SRB,27.9698836413,1,13845,103819,2,,Roger Federer,R,185,SUI,33.7549623546,2,8645,6-4 6-3,3,F,76,5,1,53,38,32,10,10,1,1,7,1,62,39,30,8,9,3,5
2015-416,Rome Masters,Clay,56,M,20150510,52,103819,2,,Roger Federer,R,185,SUI,33.7549623546,2,8645,104607,6,,Tomas Berdych,R,196,CZE,29.6454483231,5,5140,6-3 6-3,3,QF,67,2,0,48,29,25,10,9,3,4,3,2,46,32,19,7,9,1,5
2015-416,Rome Masters,Clay,56,M,20150510,54,103819,2,,Roger Federer,R,185,SUI,33.7549623546,2,8645,104527,8,,Stanislas Wawrinka,R,183,SUI,30.1190965092,9,3575,6-4 6-2,3,SF,55,6,1,48,35,28,8,9,1,2,4,2,45,27,19,6,9,2,6
